ASROCK,,,,,,,,,,,
B350 Tomahawk [Arctic],ATX,🗙,🗙,＊,✔,4,,1x PK616BA,2x PK632BA,,
B350 Tomahawk Plus,ATX,🗙,🗙,＊,✔,4,,1x PK616BA,2x PK632BA,,
B350I Pro AC,mITX,🗙,✔,✔,✔,6,,1x IR3555 60A Power Stage,,,
B350M Bazooka,mATX,🗙,🗙,＊,✔,4,,1x PK616BA,2x PK632BA,,
B350M Gaming Pro,mATX,🗙,🗙,＊,✔,3,,2x PK616BA,2x PK632BA,,
B350M Mortar [Arctic],mATX,🗙,🗙,＊,✔,4,,1x PK616BA,2x PK632BA,,
B350M Pro-VD Plus,mATX,🗙,🗙,＊,✔,4,,1x PK616BA,2x PK632BA,,
B350M Pro-VDH,mATX,🗙,🗙,＊,✔,4,,1x PK616BA,2x PK632BA,,
B350M Pro-VH Plus,mATX,🗙,🗙,＊,✔,4,,1x PK616BA,2x PK632BA,,
X370 Gaming M7 ACK,ATX,🗙,✔,✔,✔,5 * 2,IR3598,1x PK616BA,2x PK632BA,✔,
X370 Gaming Plus,ATX,🗙,＊,✔,✔,4,,2x PK616BA,2x PK632BA,,
X370 Gaming Pro,ATX,🗙,＊,✔,✔,4,,2x PK616BA,2x PK632BA,,
X370 Gaming Pro Carbon [AC],ATX,🗙,＊,✔,✔,4,,2x PK616BA,2x PK632BA,,
X370 Krait Gaming,ATX,🗙,＊,✔,✔,4,,2x PK616BA,2x PK632BA,,
X370 SLI Plus,ATX,🗙,＊,✔,✔,4,,2x PK616BA,2x PK632BA,,
X370 Xpower Gaming Titanium,ATX,🗙,＊,✔,✔,6,,1x PK616BA,2x PK632BA,✔,
